batch_key,source_id,year,rank,category,distinction,source_url,venue_name,city_label,country_label,venue_category,venue_status,price_symbol_raw,note
first-batch-2026-09,101-best-steakhouses,2026,101,No. 101,,https://www.worldbeststeaks.com/the-list,Brabo,Barcelona,Spain,restaurant,active,,Sep 10 audit: open venue waiting for the ingest job
first-batch-2026-09,101-best-steakhouses,2026,1,No. 1,,https://www.worldbeststeaks.com/the-list,La Cúpula de El Capricho,Jiménez de Jamuz,Spain,restaurant,active,,"Fix 1. Rank 1 currently sits on Bodega El Capricho (ve_c1cc29d546); moving it off is a separate hand fix after this batch."
first-batch-2026-09,asia-50-best-restaurants,2019,49,No. 49,,https://www.the50.com/stories/News/asias-50-best-restaurants-2019-list-in-pictures.html,Corner House,Singapore,Singapore,restaurant,active,,Sep 10 audit: open venue waiting for the ingest job
first-batch-2026-09,latin-america-50-best-restaurants,2019,48,No. 48,,https://www.theworlds50best.com/stories/News/latin-americas-50-best-restaurants-2019-list-in-pictures.html,Malabar,Lima,Peru,restaurant,active,,Sep 10 audit: open venue waiting for the ingest job
first-batch-2026-09,top-500-bars,2024,417,No. 417,,https://www.bargiornale.it/spirit/top-500-bars-2024-svela-le-posizioni-dalla-301-alla-500/,Ralph's Bar,Chengdu,China,bar,active,,Sep 10 audit: open venue waiting for the ingest job
first-batch-2026-09,top-500-bars,2024,458,No. 458,,https://www.bargiornale.it/spirit/top-500-bars-2024-svela-le-posizioni-dalla-301-alla-500/,REM,Rome,Italy,bar,active,,Sep 10 audit: open venue waiting for the ingest job
first-batch-2026-09,top-500-bars,2025,124,No. 124,,https://www.top500bars.com/101-150-2025,Café Arixi,Mexico City,Mexico,bar,active,,"Sep 10 audit: open venue. OpenTable says permanently closed but the venue's own live site still operates under this name - kept as open, worth a manual spot-check."
first-batch-2026-09,worlds-50-best-restaurants,2003,30,No. 30,,https://www.the50.com/restaurants/best-in-the-world/previous-list/2003,Guy Savoy,Paris,France,restaurant,active,,"Source is the publisher's own archive. The worklist's joinpearl URL is a banned competitor source and is not used."
first-batch-2026-09,worlds-50-best-restaurants,2004,6,No. 6,,https://www.the50.com/restaurants/best-in-the-world/previous-list/2004,Guy Savoy,Paris,France,restaurant,active,,Publisher archive
first-batch-2026-09,worlds-50-best-restaurants,2005,16,No. 16,,https://www.the50.com/restaurants/best-in-the-world/previous-list/2005,Guy Savoy,Paris,France,restaurant,active,,Publisher archive
