line,verdict,stage_reason,csv_name,csv_city,candidate_id,candidate_name,candidate_city,candidate_michelin_2025,proposed,confidence,reason,decision
2,review_city,city_not_found,La Marine,L'Herbaudière,ve_07fc048900,La Marine,noirmoutier-en-lile (other city),Three Stars,use:ve_07fc048900,medium,"city differs: db noirmoutier-en-lile, michelin L'Herbaudière (no city row for the michelin label); the venue is not moved; the discrepancy is recorded here",use:ve_07fc048900
8,new_venue,,Le Gabriel - La Réserve Paris,Paris,ve_ea838a498e,Restaurant Le Gabriel,paris,Three Stars,use:ve_ea838a498e,high,same tier both years: 3 stars,use:ve_ea838a498e
10,new_venue,,Alléno Paris au Pavillon Ledoyen,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
11,new_venue,,Kei,Paris,ve_eeded0c3ef,Restaurant Kei,paris,Three Stars,use:ve_eeded0c3ef,high,same tier both years: 3 stars,use:ve_eeded0c3ef
12,new_venue,,Plénitude - Cheval Blanc Paris,Paris,ve_c2aeca7793,Plénitude,paris,Three Stars,use:ve_c2aeca7793,high,same tier both years: 3 stars,use:ve_c2aeca7793
13,new_venue,,Les Prés d'Eugénie - Michel Guérard,Eugénie-les-Bains,,,,,new,high,"no candidate in eugenie-les-bains, nor anywhere in France holding a Michelin 2025 row",new
14,new_venue,,Assiette Champenoise,Reims,ve_5a67e55a7a,Hôtel L' Assiette Champenoise,reims,Three Stars,use:ve_5a67e55a7a,high,same tier both years: 3 stars,use:ve_5a67e55a7a
19,new_venue,,Pic,Valence,,,,,new,high,"no candidate in valence, nor anywhere in France holding a Michelin 2025 row",new
20,new_venue,,Les Morainières,Jongieux,ve_b93b8941db,Restaurant Les Morainières,jongieux,Three Stars,use:ve_b93b8941db,high,same tier both years: 3 stars,use:ve_b93b8941db
22,new_venue,,L'Oustau de Baumanière,Les Baux-de-Provence,ve_0dbdcc762c,Restaurant L'Oustau de Baumanière***,les-baux-de-provence,Three Stars,use:ve_0dbdcc762c,high,same tier both years: 3 stars,use:ve_0dbdcc762c
25,new_venue,,Le Petit Nice,Marseille,,,,,new,high,"no candidate in marseille, nor anywhere in France holding a Michelin 2025 row",new
29,new_venue,,La Vague d'Or - Cheval Blanc St-Tropez,Saint-Tropez,ve_500702a2cd,La Vague d'Or,saint-tropez,Three Stars,use:ve_500702a2cd,high,same tier both years: 3 stars,use:ve_500702a2cd
30,new_venue,,Mirazur,Menton,ve_5a2faf7397,Restaurant Mirazur,menton,Three Stars,use:ve_5a2faf7397,high,same tier both years: 3 stars,use:ve_5a2faf7397
31,new_venue,,L'Auberge des Glazicks,Plomodiern,ve_0c4e0915ee,Auberge des Glazicks,plomodiern,,use:ve_0c4e0915ee,medium,"the venue is in plomodiern already but holds no Michelin 2025 row, so it is outside the candidate search - there is no 2025 tier to compare against the 2026 2 stars",use:ve_0c4e0915ee
32,new_venue,,Maison Ronan Kervarrec,Saint-Grégoire,,,,,new,high,"no candidate in saint-gregoire, nor anywhere in France holding a Michelin 2025 row",new
33,new_venue,,Anne de Bretagne,La Plaine-sur-Mer,,,,,new,high,"no candidate in la-plaine-sur-mer, nor anywhere in France holding a Michelin 2025 row",new
37,new_venue,,La Table de Christophe Dufossé,Busnes,,,,,new,high,"no candidate in busnes, nor anywhere in France holding a Michelin 2025 row",new
40,new_venue,,La Grand'Vigne - Les Sources de Caudalie,Martillac,,,,,new,high,"no candidate in martillac, nor anywhere in France holding a Michelin 2025 row",new
42,new_venue,,Christophe Hay - Fleur de Loire,Blois,ve_c09c6dfd4d,Restaurant Christophe Hay,blois,Two Stars,use:ve_c09c6dfd4d,high,same tier both years: 2 stars,use:ve_c09c6dfd4d
43,new_venue,,Lalique,Bommes,,,,,new,high,"no candidate in bommes, nor anywhere in France holding a Michelin 2025 row",new
45,new_venue,,Le Corot,Ville-d'Avray,,,,,new,high,"no candidate in ville-davray, nor anywhere in France holding a Michelin 2025 row",new
51,new_venue,,Le Jules Verne,Paris,ve_baeae630ab,Jules Verne,paris,Two Stars,use:ve_baeae630ab,high,same tier both years: 2 stars,use:ve_baeae630ab
56,new_venue,,David Toutain,Paris,ve_48912b20f9,Restaurant David Toutain,paris,Two Stars,use:ve_48912b20f9,high,same tier both years: 2 stars,use:ve_48912b20f9
57,new_venue,,L'Abysse Paris,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
58,new_venue,,Marsan par Hélène Darroze,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
68,new_venue,,Le Parc Les Crayères,Reims,,,,,new,high,"no candidate in reims, nor anywhere in France holding a Michelin 2025 row",new
69,new_venue,,La Côte Saint-Jacques,Joigny,,,,,new,high,"no candidate in joigny, nor anywhere in France holding a Michelin 2025 row",new
