"line","venue_name","city_label","decision","reason"
"4","RyuGin","Tokyo","use:ve_b3a910372f","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Nihonryori RyuGin)"
"5","Harutaka","Tokyo","use:ve_b3fa3db8ee","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Ginza Harutaka)"
"7","Myojaku","Tokyo","use:ve_7d84d1845a","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Myoujyaku)"
"9","Joël Robuchon","Tokyo","use:ve_4d7b1a8139","same venue: the Tokyo Joel Robuchon three-star (database name Gastronomy Joel Robuchon); the other candidates are in Las Vegas, Hong Kong and Paris (Gastronomy “Joël Robuchon”)"
"12","Miyamaso","Kyoto","use:ve_9516ed5fb8","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Miyamasou)"
"15","Isshisoden Nakamura","Kyoto","use:ve_a92a6007b8","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Isshisouden Nakamura)"
"31","Ginza Kojyu","Tokyo","use:ve_fdea70bea1","same venue: Ginza Kojyu, Two Stars; database name carries junk text (cleanup list) (Ginza Kojyu - prenotato il 27)"
"33","Akasaka Kikunoi","Tokyo","use:ve_0767b4aa0a","same venue: the Tokyo Kikunoi branch is Akasaka Kikunoi, Two Stars (Kikunoi)"
"35","Seizan","Tokyo","use:ve_c2bd60fcc3","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Nihonryōri Seizan)"
"36","Hakuun","Tokyo","use:ve_7d5908767f","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Nihonryōri Hakuun)"
"44","Sukiyabashi Jiro Roppongiten","Tokyo","new","new: Sukiyabashi Jiro in the database mixes the Ginza main shop (W50B 2002-2003) and Roppongi; a split is on the cleanup list"
"46","Ensui","Tokyo","use:ve_b93083694c","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Nihon Ryori Ensui)"
"48","Kyokaiseki Kichisen","Kyoto","use:ve_3d4b0c6d82","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Kichisen)"
"51","Yusokuryori Mankamero","Kyoto","use:ve_2c67034c77","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Mankamerou)"
"53","Sanso Kyoyamato","Kyoto","use:ve_24f473c47d","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Kyoyamato)"
"61","Kenninji Gion Maruyama","Kyoto","use:ve_0f8cddca39","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Keninji Gion Maruyama)"
"72","Tenjimbashi Aoki","Osaka","use:ve_f6fe97d98a","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Tenjinbashi Aoki)"
"78","Oimatsu Hisano","Osaka","use:ve_c08f465911","same venue: native name matches the database name exactly (老松 ひさ乃)"
"79","Yugen","Osaka","use:ve_c8c6cb35da","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Kaiseki Cuisine YUGEN)"
"80","Teruya","Osaka","use:ve_43028da2fe","same venue: native name matches the database name exactly (照屋)"
"95","Kyobashi Tempura Fukamachi","Tokyo","use:ve_fcd6e9b961","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Tempura Fukamachi)"
"105","Tanimoto","Tokyo","use:ve_40675185d5","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Tanimoto Kagurazaka)"
"106","CYCLE by Mauro Colagreco","Tokyo","use:ve_d5e4f613a2","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (CYCLE)"
"107","L'ÉTERRE","Tokyo","use:ve_d9f20852fc","same venue: native name L-Eterre (katakana) is the database name without its neighborhood suffix (レテール 牛込神楽坂)"
"108","Ginza Kitagawa","Tokyo","use:ve_54dd9230f5","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Kitagawa)"
"109","PRUNIER","Tokyo","use:ve_1b1f4550a4","same venue: loose-name candidate RESTAURANT PRUNIER, Tokyo, One Star (RESTAURANT PRUNIER)"
"110","Tour D'argent Tokyo","Tokyo","use:ve_a681e2656f","same venue: La Tour d Argent in Tokyo, One Star (La Tour d'Argent)"
"118","Koshikiryori Koki","Tokyo","use:ve_a17af50aab","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Hongshiki Ryori Koki)"
"123","Yotsuya Minemura","Tokyo","use:ve_ec860811a8","same venue: native name matches except the small tsu character (四ッ谷 みね村)"
"125","Akasaka Shimabukuro","Tokyo","use:ve_8d760d0eab","same venue: native name matches the database name exactly (赤坂 島袋)"
"129","Torakuro","Tokyo","use:ve_cb4fd18f7c","same venue: Michelin page puts Torakuro in the Imperial Hotel (Teikoku Hotel), One Star (Teikokuhoteru Toraguro)"
"130","Takumi Tatsuhiro","Tokyo","use:ve_b45a2766ee","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Shinjuku Gyoen Sushi Takumi Tatsuhiro)"
"131","Hyakuyaku by Tokuyamazushi","Tokyo","use:ve_4a5e42c2b6","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Hyakuyaku)"
"132","L'AFFINAGE","Tokyo","use:ve_a428f842ed","same venue: loose-name candidate Restaurant L affinage, Tokyo, One Star (Restaurant L'affinage)"
"134","amarantos","Tokyo","use:ve_09a8b80f97","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Amarantos Modern French restaurant)"
"138","Gucci Osteria da Massimo Bottura Tokyo","Tokyo","use:ve_b9c32ddde1","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Gucci Osteria da Massimo Bottura)"
"139","Shimbashi Sasada","Tokyo","use:ve_ee13fbdff8","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Shinbashi Sasada)"
"149","Edomae Sushi Hanabusa","Tokyo","use:ve_be2932ad48","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Hanabusa)"
"152","L'ATELIER de Joël Robuchon","Tokyo","use:ve_597637956c","same venue: L Atelier de Joel Robuchon at Roppongi Hills is the Tokyo L Atelier; other candidates are in Dubai, Miami and Taipei (L'Atelier de Joel Robuchon Roppongi Hills Restaurant)"
"156","Sorahana","Tokyo","use:ve_e4a3898964","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Toranomon Sorahana)"
"162","NéMo","Tokyo","use:ve_5be55d7d5d","same venue: loose-name candidate Restaurant NeMo, Tokyo, One Star (Restaurant NéMo)"
"168","Nishiazabu Taku","Tokyo","use:ve_edda0d770f","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Taku)"
"170","JO","Tokyo","new","new: no candidate in Tokyo; name too short for the key"
"171","Mētis Roppongi","Tokyo","use:ve_2a4c4351a5","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Métis六本木)"
"176","MANOIR","Tokyo","use:ve_efda18ba60","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Manoir Restaurant)"
"177","Sassa","Tokyo","new","new: Michelin names Sassa as a new One Star in Tokyo 2026"
"180","Shigeyuki","Tokyo","use:ve_bab8d84fe2","same venue: native name is the core of the database name (日本料理 割烹 茂幸 代々木上原)"
"183","Sushi Matsuura","Tokyo","use:ve_5452333718","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Sushi Matsūra)"
"192","Jizozushi","Tokyo","use:ve_a18aa57c9a","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Jizō Sushi)"
"193","Hiroo Ishizaka","Tokyo","use:ve_95447208a1","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Hirō Ishizaka)"
"207","KOGA","Kyoto","use:ve_2074100447","same venue: loose-name candidate Restaurant KOGA, Kyoto, One Star (Restaurant KOGA)"
"212","Gokomachi Tagawa","Kyoto","use:ve_a091613af6","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Tagawa)"
"214","Gosho Iwasaki","Kyoto","use:ve_75178730d2","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Iwasaki)"
"215","Kyo Seika","Kyoto","use:ve_7ba5a45715","same venue: Kyo Seika holds OAD 2025 #326, the same rank as this database row; database name is wrong (cleanup list) (Kyoto Seikaen)"
"216","Kokyu","Kyoto","use:ve_5b49a9e016","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (kokyu kyoto)"
"222","shiro","Kyoto","use:ve_e4a08ae33f","same venue: native name matches the database name exactly (しろ)"
"225","Kikunoi Sushi Ao","Kyoto","use:ve_104e470657","same venue: Kikunoi Sushi Ao, One Star; database name carries junk text (cleanup list) (Kikunoi Sushi Aoi / Niku Unshuu)"
