"line","venue_name","city_label","decision","reason"
"2","Atrio","Cáceres","use:ve_ed5d30f034","use: same city and same latest Michelin category; one name contains the other"
"4","Azurmendi","Larrabetzu","use:ve_f79e9512dd","use: same city and same latest Michelin category; one name contains the other"
"7","Akelaŕe","Donostia / San Sebastián","use:ve_02df2db986","Akelaŕe = ""Akelarre Restaurant | Pedro Subijana""; the ŕ spelling breaks the name key; same city, Three Stars"
"11","Quique Dacosta","Dénia","use:ve_973c665f77","use: same city and same latest Michelin category; one name contains the other"
"12","ABaC","Barcelona","use:ve_463f581253","use: same city and same latest Michelin category; one name contains the other"
"17","M.B","Guía de Isora","use:ve_05c29de415","M.B = ""M.B Martin Berasategui""; the name key is too short to match automatically; same town, Two Stars"
"18","El Rincón de Juan Carlos","Adeje","use:ve_34bba7bd0e","use: same city and same latest Michelin category; one name contains the other"
"21","Pepe Vieira","Raxó","use:ve_ccf497dea9","use: same city and same latest Michelin category; one name contains the other"
"22","LÚ Cocina y Alma","Jerez de la Frontera","use:ve_eb162e108e","use: same city and same latest Michelin category; one name contains the other"
"24","Alevante by Ángel León","Chiclana de la Frontera","use:ve_e4f2745ac7","Alevante by Ángel León = ""Restaurante Alevante""; same town, Two Stars"
"25","Iván Cerdeño","Toledo","use:ve_0ff37da225","use: same city and same latest Michelin category; one name contains the other"
"29","Paco Roncero","Madrid","use:ve_5e9d6be7bd","use: same city and same latest Michelin category; one name contains the other"
"31","Ramón Freixa Atelier","Madrid","use:ve_b705060cf6","use: same city and same latest Michelin category; one name contains the other. NOTE: the Fable ruling says this venue had no legacy row, but ""Restaurante Ramón Freixa Atelier"" holds a legacy Two Stars row in Madrid, so the row is paired"
"35","Bardal","Ronda","use:ve_119d7c8d87","use: same city and same latest Michelin category; one name contains the other"
"36","Molino de Urdániz","Urdaitz","use:ve_30e194dd5b","Molino de Urdániz = ""El Molino de Urdániz y Origen"". This old venue mixes the Two Stars Molino with the Origen Bib. It keeps La Liste and Best Chef rows, which belong to Molino. Its old Bib row goes to the mismatch read after the promote"
"37","Skina","Marbella","use:ve_8876a94387","use: same city and same latest Michelin category; one name contains the other"
"41","Flores Raras","Valencia","use:ve_53ec037b5f","use: same city and same latest Michelin category; one name contains the other"
"43","L'Escaleta","Cocentaina","use:ve_a2cea08203","use: same city and same latest Michelin category; one name contains the other"
"44","BonAmb","Xàbia","use:ve_4e1332cd2e","use: same city and same latest Michelin category; one name contains the other"
"45","Les Cols","Olot","use:ve_391b9761f3","use: same city and same latest Michelin category; one name contains the other"
"47","Aleia","Barcelona","use:ve_a78552ebf6","use: same city and same latest Michelin category; one name contains the other"
"50","Enoteca Paco Pérez","Barcelona","use:ve_8769ca6723","use: same city and same latest Michelin category; one name contains the other. The old name is only ""Enoteca""; Enoteca Paco Pérez is the only Two Stars candidate"
"51","Miramar","Llançà","use:ve_9b6f15d6d5","use: same city and same latest Michelin category; one name contains the other"
"53","Voro","Canyamel","use:ve_bfa1132508","use: same city and same latest Michelin category; one name contains the other"
"54","San-Hô","Adeje","use:ve_9cbea82349","use: same city and same latest Michelin category; one name contains the other"
"56","Haydée by Víctor Suárez","Adeje","use:ve_4ecd793ec3","use: same city and same latest Michelin category; one name contains the other"
"58","Donaire","Adeje","use:ve_2978c2e939","use: same city and same latest Michelin category; one name contains the other"
"59","Taste 1973","Playa de las Américas","use:ve_3c5e67fa0b","use: same city and same latest Michelin category; one name contains the other"
"60","El Taller Seve Díaz","Puerto de la Cruz","use:ve_9154e6858a","El Taller Seve Díaz = ""El Taller de Seve Diaz""; same town, One Star"
"61","Terra","Fisterra","new","Terra, Fisterra: no venue anywhere under this name; the city Fisterra is added before staging"
"63","Árbore da Veira","A Coruña","use:ve_d59853e0c0","use: same city and same latest Michelin category; one name contains the other"
"65","Asador O'Pazo","Padrón","use:ve_60447964ab","use: same city and same latest Michelin category; one name contains the other"
"66","Los Guayres","Mogán","use:ve_180cfdcfce","use: same city and same latest Michelin category; one name contains the other"
"67","A Tafona","Santiago de Compostela","use:ve_1ee766b4e3","use: same city and same latest Michelin category; one name contains the other"
"68","Casa Marcelo","Santiago de Compostela","new","Casa Marcelo, Santiago de Compostela: no Spanish venue under this name, and no free One Star candidate with a related name; one of the rows missing from the legacy snapshot"
"69","Solla","San Salvador de Poio","use:ve_f5127e5680","use: same city and same latest Michelin category; one name contains the other"
"70","La Aquarela","Patalavaca","use:ve_94b75f22b4","use: same city and same latest Michelin category; one name contains the other"
"71","Maruja Limón","Vigo","use:ve_9aebceb06a","use: same city and same latest Michelin category; one name contains the other"
"72","Silabario","Vigo","use:ve_1eaa4d7f57","use: same city and same latest Michelin category; one name contains the other"
"73","Eirado","Pontevedra","use:ve_5fdc93e8c3","use: same city and same latest Michelin category; one name contains the other"
"74","Tabaiba","Las Palmas de Gran Canaria","use:ve_c22071b0e5","use: same city and same latest Michelin category; one name contains the other"
"78","Ceibe","Ourense","use:ve_c0b3e481e9","use: same city and same latest Michelin category; one name contains the other"
"79","Miguel González","Ourense","use:ve_4ca3ad2c4f","use: same city and same latest Michelin category; one name contains the other"
"80","Vértigo","Sober","use:ve_87f22dd775","use: same city and same latest Michelin category; one name contains the other"
"82","Kamezí","Playa Blanca","use:ve_2c32880de7","use: same city and same latest Michelin category; one name contains the other"
"83","Regueiro","Tox","use:ve_0e1d201751","use: same city and same latest Michelin category; one name contains the other"
"84","Mu•na","Ponferrada","use:ve_fa7d82cea0","use: same city and same latest Michelin category; one name contains the other"
"85","Real Balneario","Salinas","use:ve_baad2edc3a","use: same city and same latest Michelin category; one name contains the other"
"87","Auga","Gijón","use:ve_e6505dd55c","use: same city and same latest Michelin category; one name contains the other"
"88","Marcos","Gijón","use:ve_133c958fb4","use: same city and same latest Michelin category; one name contains the other"
"90","El Corral del Indianu","Arriondas","use:ve_0a12e7b582","use: same city and same latest Michelin category; one name contains the other"
"91","Cocinandos","Leon","use:ve_4706bf3d90","use: same city and same latest Michelin category; one name contains the other"
"92","Pablo","Leon","use:ve_6d98eade16","use: same city and same latest Michelin category; one name contains the other"
"93","Ayalga Villa Rosario","Ribadesella","use:ve_59d53e2cd0","Ayalga Villa Rosario = ""Restaurante Ayalga""; same town, One Star"
"94","El Ermitaño","Benavente","use:ve_e0b85919c8","use: same city and same latest Michelin category; one name contains the other"
"95","El Retiro","Llanes","use:ve_71f19cea9d","use: same city and same latest Michelin category; one name contains the other"
"96","Lera","Castroverde de Campos","use:ve_d5b0659a73","use: same city and same latest Michelin category; one name contains the other"
"100","Casona del Judío","Santander","use:ve_d517cac9cc","use: same city and same latest Michelin category; one name contains the other"
"101","Trigo","Valladolid","use:ve_a8c99c4e1c","use: same city and same latest Michelin category; one name contains the other"
"102","El Serbal","Santander","use:ve_4f1ef3df82","use: same city and same latest Michelin category; one name contains the other"
"103","Alquimia - Laboratorio","Valladolid","use:ve_1ca4fbb861","use: same city and same latest Michelin category; one name contains the other"
"104","La Botica de Matapozuelos","Matapozuelos","use:ve_4895c5b426","use: same city and same latest Michelin category; one name contains the other"
"105","La Bicicleta","Hoznayo","use:ve_ede2aed779","use: same city and same latest Michelin category; one name contains the other"
"106","Refectorio","Sardón de Duero","use:ve_7d17e77590","use: same city and same latest Michelin category; one name contains the other"
"108","Solana","Ampuero","use:ve_e4fa70d628","use: same city and same latest Michelin category; one name contains the other"
"110","Barro","Ávila","use:ve_bd26dac816","use: same city and same latest Michelin category; one name contains the other"
"111","Ricardo Temiño","Burgos","use:ve_37663f29aa","use: same city and same latest Michelin category; one name contains the other"
"112","Cobo Evolución","Burgos","use:ve_296c94e9df","use: same city and same latest Michelin category; one name contains the other"
"113","Ambivium","Peñafiel","use:ve_89d8508d54","use: same city and same latest Michelin category; one name contains the other"
"114","Raíces-Carlos Maldonado","Talavera de la Reina","use:ve_acbe037132","use: same city and same latest Michelin category; one name contains the other"
"115","Ola Martín Berasategui","Bilbao","new","Ola Martín Berasategui, Bilbao: no venue under this name; the three free Bilbao One Stars are Zarate, Mina and Islares, each with its own row"
"116","Zarate","Bilbao","use:ve_a0c279f355","use: same city and same latest Michelin category; one name contains the other"
"117","Mina","Bilbao","use:ve_dec22f33e7","use: same city and same latest Michelin category; one name contains the other"
"118","Islares","Bilbao","use:ve_2032c28419","use: same city and same latest Michelin category; one name contains the other"
"123","Andra Mari","Galdakao","use:ve_53ca289c60","use: same city and same latest Michelin category; one name contains the other"
